N° Exercice	N° Porte	Condition	Type de porte	Largeur de porte	Hauteur de porte	Reponse	Corpulence utilisateur			Corpulence docteur			Difference de corpulence			Temps de reponse
1	1	1	2	4		1	0	0	0	0	0	0	0	0	0	3970.7279
1	2	1	2	5.5		1	0	0	0	0	0	0	0	0	0	531.9315
1	3	1	2	7		1	0	0	0	0	0	0	0	0	0	334.7502
1	4	1	2	8.5		1	0	0	0	0	0	0	0	0	0	167.3203
1	5	1	2	4		1	0	0	0	0	0	0	0	0	0	145.156
1	6	1	2	5.5		1	0	0	0	0	0	0	0	0	0	156.3409
1	7	1	2	7		1	0	0	0	0	0	0	0	0	0	134.0869
1	8	1	2	8.5		1	0	0	0	0	0	0	0	0	0	145.3062
1	9	1	2	4		1	0	0	0	0	0	0	0	0	0	145.1274
1	10	1	2	5.5		1	0	0	0	0	0	0	0	0	0	167.6147
1	11	1	2	7		1	0	0	0	0	0	0	0	0	0	268.2003
1	12	1	2	8.5		1	0	0	0	0	0	0	0	0	0	144.9897
1	13	1	2	4		1	0	0	0	0	0	0	0	0	0	156.4413
1	14	1	2	5.5		1	0	0	0	0	0	0	0	0	0	156.29
1	15	1	2	7		1	0	0	0	0	0	0	0	0	0	167.7606
1	16	1	2	8.5		1	0	0	0	0	0	0	0	0	0	145.1609
1	17	1	2	4		1	0	0	0	0	0	0	0	0	0	145.236
1	18	1	2	5.5		1	0	0	0	0	0	0	0	0	0	145.2209
1	19	1	2	7		1	0	0	0	0	0	0	0	0	0	145.3241
1	20	1	2	8.5		1	0	0	0	0	0	0	0	0	0	167.2495
1	21	1	2	4		1	0	0	0	0	0	0	0	0	0	145.1356
1	22	1	2	5.5		1	0	0	0	0	0	0	0	0	0	145.1971
1	23	1	2	7		1	0	0	0	0	0	0	0	0	0	167.9399
1	24	1	2	8.5		1	0	0	0	0	0	0	0	0	0	145.182
