N° Exercice	N° Porte	Condition	Type de porte	Largeur de porte	Hauteur de porte	Reponse	Corpulence utilisateur			Corpulence docteur			Difference de corpulence			Temps de reponse
1	1	1	1	1.5	17	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	2.384
1	2	1	1	1.5	17	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.77
1	3	1	1	3.25	17	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.39
1	4	1	1	3.25	17	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.31
1	5	1	1	3.25	17	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.212
1	6	1	1	3.25	17	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.246
1	7	1	1	3.25	17	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.167
1	8	1	1	1.5	17	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.167
1	9	1	1	1.5	17	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.168
1	10	1	1	1.5	17	1	113.69	107.7	121.26	95.63	96.22	112.68	-15.88531	-10.65924	-7.075706	0.146
