N° Exercice	N° Porte	Condition	Type de porte	Largeur de porte	Hauteur de porte	Reponse	Corpulence utilisateur			Corpulence docteur			Difference de corpulence			Temps de reponse
1	1	1	3	6		1	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	1069.2628
1	2	1	3	6.6		1	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	113.4946
1	3	1	3	7.2		1	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	132.0741
1	4	1	3	7.8		0	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	166.1206
1	5	1	3	8.4		0	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	133.5942
1	6	1	3	9		1	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	112.0799
1	7	1	3	9.6		1	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	144.6018
1	8	1	3	10.2		0	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	144.6046
1	9	1	3	10.8		1	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	111.5796
1	10	1	3	11.4		0	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	122.5856
1	11	1	3	6		1	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	45.034
1	12	1	3	6.6		1	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	168.6367
1	13	1	3	7.2		0	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	111.0606
1	14	1	3	7.8		1	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	90.566
1	15	1	3	8.4		0	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	87.5609
1	16	1	3	9		0	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	145.1036
1	17	1	3	9.6		1	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	78.557
1	18	1	3	10.2		1	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	145.1231
1	19	1	3	10.8		1	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	122.5672
1	20	1	3	11.4		0	69.91	82.86	92.91	57.33	80.71	77.24	-17.99457	-2.59474	-16.86579	67.5477
