N° Exercice	N° Porte	Condition	Type de porte	Largeur de porte	Hauteur de porte	Reponse	Corpulence utilisateur			Corpulence docteur			Difference de corpulence			Temps de reponse
1	1	1	1	4		1	0	0	0	0	0	0	0	0	0	2901.3527
1	2	1	1	4.8		1	0	0	0	0	0	0	0	0	0	704.1471
1	3	1	1	5.6		1	0	0	0	0	0	0	0	0	0	357.4336
1	4	1	1	6.4		1	0	0	0	0	0	0	0	0	0	603.1618
1	5	1	1	7.2		1	0	0	0	0	0	0	0	0	0	346.1532
1	6	1	1	8		1	0	0	0	0	0	0	0	0	0	301.2987
1	7	1	1	8.8		1	0	0	0	0	0	0	0	0	0	246.1549
1	8	1	1	9.6		1	0	0	0	0	0	0	0	0	0	167.3532
1	9	1	1	10.4		1	0	0	0	0	0	0	0	0	0	323.6687
1	10	1	1	11.2		1	0	0	0	0	0	0	0	0	0	491.1543
1	11	1	1	4		1	0	0	0	0	0	0	0	0	0	357.6275
1	12	1	1	4.8		1	0	0	0	0	0	0	0	0	0	301.8686
1	13	1	1	5.6		1	0	0	0	0	0	0	0	0	0	200.3651
1	14	1	1	6.4		1	0	0	0	0	0	0	0	0	0	279.3003
1	15	1	1	7.2		1	0	0	0	0	0	0	0	0	0	368.2694
1	16	1	1	8		1	0	0	0	0	0	0	0	0	0	257.0452
1	17	1	1	8.8		1	0	0	0	0	0	0	0	0	0	201.3035
1	18	1	1	9.6		1	0	0	0	0	0	0	0	0	0	356.9632
1	19	1	1	10.4		1	0	0	0	0	0	0	0	0	0	257.1754
1	20	1	1	11.2		1	0	0	0	0	0	0	0	0	0	357.1452
2	1	1	2	2.5	15	1	0	0	0	0	0	0	0	0	0	14.628
2	2	1	2	3.666667	15	1	0	0	0	0	0	0	0	0	0	0.737
2	3	1	2	2.5	15	1	0	0	0	0	0	0	0	0	0	0.581
2	4	1	2	4.833333	15	1	0	0	0	0	0	0	0	0	0	0.201
2	5	1	2	4.833333	15	1	0	0	0	0	0	0	0	0	0	0.524
2	6	1	2	3.666667	15	1	0	0	0	0	0	0	0	0	0	0.413
